pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2022-01-07 11:50:00-05:00,2022-01-07 12:00:00-05:00,115.6605,115.61370643838134,2000000,-809.4931602023416,-889.4931602023416,-1.1881225127155586,80.0,stop_loss,adaptive_session_reversion,fri|early|balanced|deep|long,0,0.0,0.0
USDJPY,short,2022-07-27 12:05:00-04:00,2022-07-27 12:20:00-04:00,137.2685,137.32324717760008,1982000,-790.1901107149872,-869.4701107149872,-1.1751279662397418,79.28,stop_loss,adaptive_session_reversion,wed_thu|early|balanced|deep|short,0,0.0,0.0
USDJPY,short,2023-01-04 11:45:00-05:00,2023-01-04 12:20:00-05:00,132.0015,132.11651344321277,872000,-758.3667113926151,-793.2467113926152,-1.0768575095838595,34.88,stop_loss,adaptive_session_reversion,wed_thu|early|balanced|deep|short,1,0.0,-1.1751279662397418
USDJPY,long,2023-04-03 11:30:00-04:00,2023-04-03 11:35:00-04:00,132.35150000000002,132.26313258416303,1139000,-760.694156614758,-806.2541566147579,-1.1039454569364993,45.56,stop_loss,adaptive_session_reversion,mon_tue|early|balanced|deep|long,0,0.0,0.0
USDJPY,long,2023-11-24 14:35:00-05:00,2023-11-24 15:00:00-05:00,149.4675,149.47603885693175,1932000,110.3615926475516,33.0815926475516,0.19132946686160326,77.28,take_profit,adaptive_session_reversion,fri|late|balanced|mild|long,0,0.0,0.0
USDJPY,long,2024-01-29 12:00:00-05:00,2024-01-29 12:35:00-05:00,147.6535,147.59984735648746,1933000,-702.5841891280455,-779.9041891280455,-1.1879201723782562,77.32000000000001,stop_loss,adaptive_session_reversion,mon_tue|early|balanced|deep|long,1,0.0,-1.1039454569364993
USDJPY,short,2024-05-07 14:30:00-04:00,2024-05-07 14:35:00-04:00,154.6575,154.6909427730633,1917000,-414.41903555555024,-491.09903555555024,-1.3232569616881555,76.68,stop_loss,adaptive_session_reversion,mon_tue|late|balanced|mild|short,0,0.0,0.0
USDJPY,short,2024-11-25 11:35:00-05:00,2024-11-25 11:40:00-05:00,154.2925,154.3782490928081,1342000,-745.4221028428708,-799.1021028428709,-1.1173413763726792,53.68000000000001,stop_loss,adaptive_session_reversion,mon_tue|early|balanced|deep|short,0,0.0,0.0
USDJPY,short,2025-01-28 11:25:00-05:00,2025-01-28 12:15:00-05:00,155.6085,155.6655,1398000,-511.9168454730306,-567.8368454730306,-0.8005215262966335,55.92,time_stop,adaptive_session_reversion,mon_tue|early|balanced|deep|short,1,0.0,-1.1173413763726792
USDJPY,long,2025-03-03 13:25:00-05:00,2025-03-03 13:35:00-05:00,150.1675,150.09391761872777,1511000,-740.6717569153525,-801.1117569153525,-1.1360644548409797,60.440000000000005,stop_loss,adaptive_session_reversion,mon_tue|core|balanced|deep|long,0,0.0,0.0
USDJPY,long,2025-03-17 11:50:00-04:00,2025-03-17 12:10:00-04:00,148.5395,148.59677841392684,1538000,592.7918270056095,531.2718270056096,0.7598216005356262,61.52,take_profit,adaptive_session_reversion,mon_tue|early|balanced|deep|long,2,0.0,-1.1459328146573777
USDJPY,long,2025-03-28 12:35:00-04:00,2025-03-28 13:10:00-04:00,150.1105,150.0311956481764,1392000,-735.5618927387351,-791.2418927387351,-1.1257087110721091,55.68000000000001,stop_loss,adaptive_session_reversion,fri|core|balanced|deep|long,0,0.0,0.0
USDJPY,long,2025-08-19 13:50:00-04:00,2025-08-19 13:55:00-04:00,147.5475,147.50192751969573,1859000,-574.2937579950342,-648.6537579950341,-1.2237157043197995,74.36,stop_loss,adaptive_session_reversion,mon_tue|core|balanced|deep|long,1,0.0,-1.1360644548409797
USDJPY,long,2025-08-27 11:50:00-04:00,2025-08-27 12:10:00-04:00,147.7565,147.70446377085648,1846000,-650.307549091282,-724.1475490912819,-1.1941766720809077,73.84,stop_loss,adaptive_session_reversion,wed_thu|early|balanced|deep|long,0,0.0,0.0
USDJPY,long,2025-09-12 14:35:00-04:00,2025-09-12 14:45:00-04:00,147.5225,147.4924866805713,1832000,-372.79076568139834,-446.0707656813983,-1.354777688713829,73.28,stop_loss,adaptive_session_reversion,fri|late|balanced|deep|long,0,0.0,0.0
USDJPY,long,2025-09-23 14:35:00-04:00,2025-09-23 14:45:00-04:00,147.5645,147.51445747731458,1823000,-618.4706881498231,-691.3906881498232,-1.2024590642429265,72.92,stop_loss,adaptive_session_reversion,mon_tue|late|balanced|deep|long,0,0.0,0.0
USDJPY,short,2025-10-20 14:30:00-04:00,2025-10-20 14:40:00-04:00,150.7595,150.7403003366008,1809000,230.39596079047445,158.03596079047443,0.5222638259513377,72.36,take_profit,adaptive_session_reversion,mon_tue|late|balanced|mild|short,1,0.0,-1.3232569616881555
USDJPY,long,2025-11-28 11:10:00-05:00,2025-11-28 11:20:00-05:00,156.1115,156.1761148480293,1402000,580.0471064053585,523.9671064053585,0.7709552654120458,56.080000000000005,take_profit,adaptive_session_reversion,fri|early|balanced|deep|long,1,0.0,-1.1881225127155586
