pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2022-01,1,0,1,-889.4931602023416,0.0
USDJPY,2022-07,1,0,1,-869.4701107149872,0.0
USDJPY,2022-10,1,0,1,-845.3877252911797,0.0
USDJPY,2023-01,2,1,1,-239.31597626403754,0.6955148234915234
USDJPY,2023-04,1,0,1,-804.1305723567737,0.0
USDJPY,2023-05,1,0,1,-825.9706671425556,0.0
USDJPY,2023-11,1,1,0,32.70488714121302,inf
USDJPY,2024-01,1,0,1,-771.0278869237947,0.0
USDJPY,2024-05,1,0,1,-485.4630528835512,0.0
USDJPY,2024-11,1,0,1,-790.1702611568476,0.0
USDJPY,2025-01,1,0,1,-561.3379974561719,0.0
USDJPY,2025-02,1,1,0,82.78055951352951,inf
USDJPY,2025-03,3,0,3,-2317.4352408571845,0.0
USDJPY,2025-08,2,0,2,-1339.4470616871135,0.0
USDJPY,2025-09,2,0,2,-1109.437782620759,0.0
USDJPY,2025-10,1,1,0,154.19207893597974,inf
USDJPY,2025-11,1,1,0,511.26034348254655,inf
