context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
wed_thu|early|balanced|deep|long,2,2,0,100.0,inf,1727.7224431763043,1.1566293736743223
mon_tue|early|balanced|deep|long,1,1,0,100.0,inf,736.3579157618226,1.3445910178987108
mon_tue|early|balanced|deep|short,1,1,0,100.0,inf,445.9230563343327,0.6823418422704398
wed_thu|core|calm|deep|long,1,1,0,100.0,inf,126.69043455321622,0.36246212557488916
fri|core|balanced|deep|long,1,1,0,100.0,inf,105.07468996268801,0.3799350703391448
fri|core|balanced|deep|short,1,1,0,100.0,inf,4.707865542851735,0.018937952982118686
mon_tue|core|balanced|deep|long,2,1,1,50.0,0.8847261764931542,-52.83827851024222,-0.4012746647789885
wed_thu|early|balanced|deep|short,2,1,1,50.0,0.773865061993032,-176.93493864730544,-0.06490321285846862
wed_thu|core|balanced|deep|long,3,2,1,66.66666666666666,0.6472054129413124,-221.900387251057,-0.14740704157500817
mon_tue|late|balanced|deep|short,1,0,1,0.0,0.0,-502.351465891798,-1.4103925791067127
fri|early|balanced|deep|long,1,0,1,0.0,0.0,-889.0143173865704,-1.1734331442838657
